collection_group,track,rev,hcc_agnd,hcc_agdu,pct_dual,qual_score,m001,m134,m236
MIPS CQM,A,Low Revenue,0.99,0.976,3.71,62.97,17.31,61.02,81.83
WI,A,Low Revenue,0.796,0.784,11.34,89.85,8.46,89.96,75.74
WI,EN,Low Revenue,0.942,0.726,77.23,51.25,91.67,13.71,4.42
MIPS CQM,EN,Low Revenue,1.755,1.306,50.13,77.05,26.38,77.16,79.62
MIPS CQM,EN,Low Revenue,1.068,1.071,8.86,77.05,35.07,35.79,71.85
eCQM,EN,Low Revenue,0.973,0.954,9.63,73.43,11.69,69.57,83.05
eCQM,EN,High Revenue,0.942,1.029,16.58,80.25,15.39,65.71,73.76
WI,EN,Low Revenue,1.02,1.027,2.55,88.76,9.12,72.56,85.39
eCQM,E,High Revenue,0.973,1.08,10.64,86.16,17.93,71.27,78.51
WI,B,High Revenue,1.049,1.178,10.88,69.5,9.86,79.04,87.37
WI,B,High Revenue,0.849,0.812,3.9,73.43,9.98,71.33,73.74
WI,EN,High Revenue,0.917,0.886,10.0,84.27,8.76,83.82,75.33
WI,C,Low Revenue,0.974,0.95,10.36,76.88,8.7,79.45,79.12
WI,A,High Revenue,0.971,0.884,6.75,80.52,6.62,78.98,65.59
WI,EN,Low Revenue,0.983,1.031,5.34,95.11,7.91,95.04,87.6
WI,EN,Low Revenue,1.056,0.963,6.17,90.37,14.59,72.67,78.19
WI,EN,Low Revenue,1.018,0.82,3.49,80.64,10.84,75.72,79.33
eCQM,EN,Low Revenue,1.044,0.929,1.42,77.05,14.64,69.61,74.71
WI,E,Low Revenue,0.883,0.843,5.14,82.01,7.26,77.91,72.16
eCQM,C,Low Revenue,0.979,1.254,2.44,65.09,18.65,24.76,83.25
WI,E,High Revenue,0.912,0.915,25.04,74.0,8.97,68.31,72.17
WI,A,Low Revenue,0.834,0.824,20.97,74.96,10.63,89.11,67.63
WI,E,Low Revenue,0.95,1.132,7.77,90.84,13.57,83.22,82.65
WI,EN,Low Revenue,0.96,0.863,10.79,82.53,10.46,79.88,82.96
WI,A,Low Revenue,0.894,0.788,20.05,79.64,16.54,89.77,64.48
MIPS CQM,B,High Revenue,1.703,1.25,35.37,77.05,28.53,,
WI,E,Low Revenue,0.938,1.004,11.83,81.85,6.17,83.93,81.63
MIPS CQM,EN,Low Revenue,1.783,1.307,63.88,60.67,26.54,34.16,74.44
eCQM,E,High Revenue,0.96,0.934,4.83,58.22,27.96,32.48,66.11
WI,E,Low Revenue,0.889,0.896,15.53,83.08,7.36,72.6,78.98
WI,E,Low Revenue,0.92,1.065,7.4,84.88,10.44,80.07,80.48
WI,EN,Low Revenue,0.963,1.067,2.77,92.67,7.07,85.55,85.56
WI,EN,Low Revenue,1.145,1.212,4.45,81.65,11.74,88.24,85.46
WI,EN,Low Revenue,0.888,0.815,4.71,88.64,8.9,59.71,73.31
WI,A,Low Revenue,0.876,0.947,12.29,71.89,13.13,63.18,68.16
WI,EN,Low Revenue,0.927,1.029,7.04,83.63,9.93,81.8,79.57
eCQM,A,High Revenue,0.785,0.677,6.04,68.03,14.88,43.31,68.76
eCQM,E,Low Revenue,0.893,0.911,10.71,69.3,18.33,20.99,72.98
WI,EN,Low Revenue,1.136,0.873,13.12,84.05,9.92,77.14,80.32
WI,EN,High Revenue,0.991,0.887,2.49,86.61,6.4,90.31,84.49
WI,A,High Revenue,1.578,1.317,6.25,77.02,13.97,84.16,73.55
WI,EN,Low Revenue,0.973,0.826,3.45,86.18,6.54,75.66,78.62
WI,E,Low Revenue,0.923,1.144,1.75,86.91,5.95,94.45,81.55
WI,EN,Low Revenue,0.96,1.012,3.43,83.82,7.66,88.84,73.2
WI,E,Low Revenue,0.902,0.793,3.04,73.03,12.05,40.96,67.83
WI,EN,High Revenue,0.887,0.852,8.06,69.62,9.77,47.81,68.87
MIPS CQM,A,Low Revenue,0.838,0.79,4.63,63.25,9.1,20.95,79.26
WI,EN,Low Revenue,1.013,0.947,4.69,81.05,8.14,75.78,74.16
WI,A,Low Revenue,0.871,0.949,3.53,77.05,8.56,83.59,72.79
WI,EN,Low Revenue,0.885,0.933,4.15,81.33,7.43,71.07,74.79
eCQM,A,Low Revenue,0.864,0.776,28.67,73.87,27.23,80.64,65.35
MIPS CQM,A,Low Revenue,1.811,1.277,64.66,82.97,14.07,,
MIPS CQM,A,Low Revenue,0.808,0.645,81.42,70.8,20.55,,64.62
WI,C,Low Revenue,0.927,0.864,12.91,73.44,18.01,60.29,65.22
eCQM,E,Low Revenue,0.909,0.856,17.7,66.05,33.86,84.56,66.76
WI,EN,Low Revenue,0.884,0.772,23.33,80.99,13.71,86.02,77.99
WI,EN,Low Revenue,0.942,0.987,7.3,87.97,7.72,86.1,74.68
WI,A,Low Revenue,1.664,1.303,60.6,77.05,17.24,36.43,75.28
WI,E,High Revenue,1.012,0.905,19.74,79.99,15.25,63.47,80.25
WI,EN,Low Revenue,0.97,0.929,2.09,86.33,2.45,83.28,89.49
WI,EN,High Revenue,1.132,0.896,8.2,84.96,11.11,81.04,80.46
WI,E,High Revenue,1.017,1.106,11.53,69.25,13.21,66.19,77.6
WI,EN,Low Revenue,1.044,1.108,5.06,92.61,6.85,87.95,91.88
WI,EN,Low Revenue,0.961,1.102,3.08,82.39,15.15,76.81,81.56
WI,EN,Low Revenue,0.797,0.871,3.12,87.75,8.31,72.84,82.21
WI,EN,Low Revenue,0.858,0.8,12.27,87.21,11.41,88.66,75.95
WI,EN,Low Revenue,0.911,0.964,5.4,68.05,11.71,39.64,74.67
WI,EN,Low Revenue,0.967,0.836,8.42,89.36,11.42,93.9,81.19
WI,EN,High Revenue,0.969,0.928,12.47,83.71,12.35,80.55,88.78
eCQM,EN,Low Revenue,1.013,1.08,3.27,75.25,23.52,56.73,77.72
WI,A,Low Revenue,0.847,0.698,11.66,79.78,9.64,79.03,83.53
eCQM,A,High Revenue,0.912,0.816,4.54,73.46,19.41,51.2,70.95
WI,E,Low Revenue,0.965,0.794,4.95,93.88,11.25,82.86,84.18
eCQM,EN,Low Revenue,1.065,1.083,4.1,54.1,69.14,22.17,72.64
WI,EN,High Revenue,1.0,0.872,5.27,81.65,4.89,64.25,80.89
MIPS CQM,A,Low Revenue,0.806,0.67,56.85,58.99,33.3,70.69,64.31
WI,A,Low Revenue,0.752,0.751,24.38,71.03,15.33,49.07,68.98
WI,EN,Low Revenue,1.074,1.015,6.48,77.4,9.12,76.8,83.57
eCQM,A,Low Revenue,0.902,0.817,26.91,80.01,24.06,73.93,68.07
WI,A,Low Revenue,0.887,0.686,38.61,45.58,30.56,12.28,10.78
eCQM,A,High Revenue,1.018,1.098,7.34,53.51,29.27,46.16,64.71
WI,A,High Revenue,1.032,0.913,8.27,86.74,8.87,91.5,81.85
WI,EN,High Revenue,1.092,0.942,22.05,76.88,11.25,64.84,79.18
WI,EN,Low Revenue,0.894,0.803,8.53,71.07,11.15,68.11,77.3
WI,A,High Revenue,0.9,0.814,8.92,77.21,6.21,78.69,72.35
WI,EN,Low Revenue,0.843,0.616,22.83,77.05,19.87,90.32,75.41
WI,A,Low Revenue,0.911,0.944,4.57,88.47,6.08,95.4,77.1
WI,EN,Low Revenue,1.093,1.363,0.45,92.95,7.66,91.11,84.88
WI,A,Low Revenue,0.947,0.857,6.31,69.34,24.68,54.02,69.32
WI,E,Low Revenue,1.049,1.145,8.22,82.04,11.11,73.14,76.59
WI,EN,Low Revenue,0.884,0.727,20.31,80.26,12.37,94.0,74.43
eCQM,A,Low Revenue,1.052,0.922,14.65,77.05,29.53,43.27,60.74
eCQM,A,High Revenue,1.055,1.059,9.3,77.05,33.53,11.16,59.81
WI,EN,Low Revenue,0.914,0.908,4.1,77.05,97.67,52.16,55.56
eCQM,E,Low Revenue,0.9,0.889,51.97,70.91,28.74,69.53,70.13
WI,EN,High Revenue,0.958,0.915,9.84,82.58,7.2,79.25,74.5
WI,A,High Revenue,1.191,1.284,1.92,77.05,5.39,63.07,59.84
